OBJECTID,LAND,BEZ,LOR,STRASSE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,USTRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
49090,11,12,12301203,Wittenau SÅd,2019,1,13,6,3,5,3,0,1,1,0,0,0,0,1,7940622837,5835083823,1334146,5258609
49091,11,3,3040818,Pankow SÅd,2019,1,9,5,3,5,3,0,1,1,0,0,0,0,0,7991304007,5832327415,1341356,5255862
49093,11,12,12103115,Breitkopfbecken,2019,3,21,6,3,0,1,2,1,0,0,0,0,0,0,795437613,5833549454,1336034,5257159
49096,11,6,6040703,Nikolassee,2019,1,7,6,2,6,4,1,0,1,1,0,0,0,1,7867143754,5817042137,1321777,5242825
49097,11,7,7030303,Grazer Platz,2019,2,15,3,3,2,6,0,0,1,0,0,0,0,0,7960743342,5822724905,1336007,5247421
49100,11,5,5020629,Bîrnicker Stra·e,2019,1,7,5,3,2,6,2,0,1,0,0,0,0,1,7848562612,5826356236,1319846,5251273
49101,11,5,5020524,Weinmeisterhornweg,2019,1,8,3,3,6,6,0,0,1,1,0,0,0,0,7835056502,5826701339,1317891,5251653
49105,11,2,2050602,Samariterviertel,2019,1,7,5,3,6,2,0,0,1,1,0,0,0,1,8034805815,5827610536,1347323,5251393
49106,11,5,5020524,Weinmeisterhornweg,2019,2,18,1,3,5,2,2,0,1,0,0,0,0,0,783514277,5826711666,1317905,5251662
49109,11,7,7050502,Fritz-Werner-Stra·e,2019,1,17,5,3,3,2,2,0,1,0,0,0,1,0,7981808157,5818901148,1338758,5243879
49111,11,7,7040402,Lindenhofsiedlung,2019,1,18,5,3,2,6,2,0,1,0,0,0,1,0,7964809733,5822570435,133659,524726
49114,11,4,4051551,Brabanter Platz,2019,1,16,5,2,0,1,2,0,0,0,1,0,0,0,7927407092,5823246873,1331159,5248068
49115,11,4,4010101,Jungfernheide,2019,2,12,6,3,2,6,0,0,0,0,0,1,1,0,7911705822,5829471679,1329398,5253733
49118,11,1,1011204,Leipziger Stra·e,2019,3,13,5,3,2,6,0,0,1,0,0,0,0,0,798627798,5827029868,1340141,5251141
